Age,Attrition,BusinessTravel,Department,DistanceFromHome,Education,EmployeeCount,EmployeeNumber,EnvironmentSatisfaction,Gender,JobInvolvement,JobRole,JobSatisfaction,MonthlyIncome,MonthlyRate,NumCompaniesWorked,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,TotalWorkingYears,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
28,Yes,Travel_Rarely,Research & Development,2,Master,1,440,Low,Male,Low,Research Scientist,Very High,3464,24737,5,13,Excellent,Very High,5,Good,3,2,2,2
30,No,Travel_Rarely,Research & Development,28,College,1,441,Very High,Female,High,Research Scientist,Very High,5775,11934,1,13,Excellent,Very High,11,Better,10,8,1,9
31,No,Travel_Frequently,Research & Development,7,College,1,442,High,Female,Medium,Manufacturing Director,High,8943,14034,1,24,Outstanding,Low,10,Better,10,9,8,9
39,No,Travel_Frequently,Research & Development,7,College,1,444,High,Male,Medium,Manager,Very High,19272,21141,1,15,Excellent,Low,21,Better,21,9,13,3
39,Yes,Travel_Rarely,Sales,3,College,1,445,Very High,Female,High,Sales Executive,High,5238,17778,4,18,Excellent,Low,12,Good,1,0,0,0
33,No,Travel_Frequently,Sales,10,Bachelor,1,446,Medium,Male,Medium,Sales Executive,Very High,4682,4317,3,14,Excellent,High,9,Good,7,7,0,1
47,No,Travel_Rarely,Research & Development,5,Doctor,1,447,Very High,Male,High,Research Director,High,18300,16375,4,11,Excellent,Medium,21,Better,3,2,1,1
43,No,Travel_Frequently,Research & Development,10,Master,1,448,High,Female,Medium,Laboratory Technician,High,5257,6227,1,11,Excellent,Medium,9,Best,9,7,0,0
27,No,Non-Travel,Sales,1,Below College,1,449,High,Male,High,Sales Executive,Medium,6349,22107,0,13,Excellent,Very High,6,Better,5,4,1,4
54,No,Travel_Frequently,Research & Development,20,Master,1,450,Very High,Female,High,Research Scientist,High,4869,16885,3,12,Excellent,Very High,20,Good,4,3,0,3
43,No,Travel_Rarely,Research & Development,7,Bachelor,1,451,High,Female,High,Healthcare Representative,Low,9985,9262,8,16,Excellent,Low,10,Good,1,0,0,0
45,No,Travel_Rarely,Research & Development,8,Master,1,452,Very High,Male,High,Research Scientist,Very High,3697,9278,9,14,Excellent,Low,12,Better,10,9,9,8
40,No,Travel_Rarely,Sales,1,College,1,453,Medium,Male,Low,Sales Executive,Very High,7457,13273,2,22,Outstanding,High,6,Good,4,3,0,2
29,Yes,Travel_Rarely,Research & Development,8,Master,1,454,Medium,Male,Low,Laboratory Technician,Low,2119,4759,1,11,Excellent,Very High,7,Good,7,7,0,7
29,No,Travel_Rarely,Research & Development,9,Doctor,1,455,Medium,Male,Medium,Laboratory Technician,Very High,3983,7621,0,17,Excellent,High,4,Better,3,2,2,2
30,No,Travel_Rarely,Sales,5,Bachelor,1,456,Very High,Female,Medium,Sales Executive,High,6118,5431,1,13,Excellent,High,10,Better,10,9,1,2
27,No,Travel_Rarely,Sales,8,Master,1,458,Medium,Female,High,Sales Executive,Medium,6214,3415,1,18,Excellent,Low,8,Better,8,7,0,7
37,No,Travel_Rarely,Research & Development,5,College,1,460,Very High,Male,High,Manufacturing Director,Very High,6347,23177,7,16,Excellent,High,8,Good,6,2,0,4
38,No,Travel_Rarely,Research & Development,15,College,1,461,High,Male,Medium,Research Director,Very High,11510,15682,0,14,Excellent,Medium,12,Better,11,10,2,9
31,No,Travel_Rarely,Research & Development,7,Master,1,462,High,Female,High,Manufacturing Director,Very High,7143,25713,1,14,Excellent,High,11,Good,11,9,4,10
29,No,Travel_Rarely,Sales,10,Below College,1,463,Very High,Female,Medium,Sales Executive,Medium,8268,11866,1,14,Excellent,Low,7,Better,7,7,1,7
35,No,Travel_Rarely,Research & Development,5,Master,1,464,High,Male,High,Manufacturing Director,Medium,8095,18264,0,13,Excellent,Very High,17,Better,16,6,0,13
23,No,Travel_Rarely,Research & Development,26,Below College,1,465,High,Male,High,Research Scientist,Very High,2904,16092,1,12,Excellent,High,4,Good,4,2,0,2
41,No,Travel_Rarely,Research & Development,6,Bachelor,1,466,Very High,Male,Medium,Manufacturing Director,Medium,6032,10110,6,15,Excellent,Very High,8,Better,5,4,1,2
47,No,Travel_Frequently,Sales,4,Below College,1,467,Medium,Male,High,Sales Representative,High,2976,25751,3,19,Excellent,Low,5,Better,0,0,0,0
42,No,Travel_Rarely,Research & Development,23,Doctor,1,468,Low,Female,High,Research Director,Very High,15992,15901,2,14,Excellent,Medium,16,Better,1,0,0,0
29,No,Non-Travel,Sales,2,Bachelor,1,469,Very High,Male,High,Sales Executive,High,4649,16928,1,14,Excellent,Low,4,Good,4,3,0,2
42,No,Travel_Rarely,Human Resources,2,Below College,1,470,High,Male,High,Human Resources,High,2696,24017,0,11,Excellent,High,4,Better,3,2,1,0
32,No,Travel_Rarely,Research & Development,2,Bachelor,1,471,High,Female,High,Laboratory Technician,Medium,2370,3956,1,13,Excellent,High,8,Better,8,0,0,7
48,No,Travel_Rarely,Sales,29,Below College,1,473,Low,Female,High,Manager,High,12504,23978,3,21,Outstanding,Medium,15,Bad,0,0,0,0
37,No,Travel_Rarely,Research & Development,6,Bachelor,1,474,High,Male,Very High,Research Scientist,Low,5974,17001,4,13,Excellent,Low,13,Better,7,7,6,7
30,No,Non-Travel,Sales,25,College,1,475,Very High,Female,High,Sales Executive,High,4736,6069,7,12,Excellent,Medium,4,Best,2,2,2,2
26,No,Travel_Rarely,Sales,1,Bachelor,1,476,High,Male,High,Sales Executive,High,5296,20156,1,17,Excellent,Medium,8,Better,8,7,7,7
42,No,Travel_Rarely,Research & Development,2,Master,1,477,Low,Male,Medium,Healthcare Representative,Very High,6781,17078,3,23,Outstanding,Medium,14,Better,1,0,0,0
21,Yes,Travel_Frequently,Sales,1,Below College,1,478,Low,Female,Medium,Sales Representative,Medium,2174,9150,1,11,Excellent,High,3,Better,3,2,1,2
36,No,Non-Travel,Sales,1,Doctor,1,479,Very High,Female,High,Sales Executive,Very High,6653,15276,4,15,Excellent,Medium,7,Better,1,0,0,0
36,No,Travel_Frequently,Sales,3,Master,1,481,Low,Male,Medium,Sales Executive,Very High,9699,7246,4,11,Excellent,Low,16,Better,13,9,1,12
57,No,Travel_Rarely,Research & Development,1,Master,1,482,Very High,Male,High,Healthcare Representative,High,6755,2967,2,11,Excellent,High,15,Better,3,2,1,2
40,No,Travel_Rarely,Research & Development,10,Master,1,483,Very High,Female,Very High,Laboratory Technician,High,2213,22495,3,13,Excellent,High,10,Better,7,7,1,7
21,No,Non-Travel,Sales,9,College,1,484,Low,Male,High,Sales Representative,Very High,2610,2851,1,24,Outstanding,High,3,Good,3,2,2,2
33,Yes,Travel_Rarely,Sales,5,Bachelor,1,485,Very High,Female,High,Sales Representative,High,2851,9150,1,13,Excellent,Medium,1,Better,1,0,0,0
37,No,Travel_Rarely,Research & Development,10,Bachelor,1,486,High,Female,High,Laboratory Technician,Low,3452,17663,6,20,Outstanding,Medium,17,Better,5,4,0,3
46,No,Non-Travel,Research & Development,7,Master,1,487,High,Female,High,Manufacturing Director,High,5258,16044,2,14,Excellent,High,7,Best,1,0,0,0
41,Yes,Travel_Frequently,Sales,4,Bachelor,1,488,Low,Male,High,Sales Executive,Medium,9355,9558,1,18,Excellent,High,8,Better,8,7,7,7
50,No,Travel_Rarely,Research & Development,10,Bachelor,1,491,Very High,Male,Medium,Healthcare Representative,Very High,10496,2755,6,15,Excellent,Very High,20,Better,4,3,1,3
40,Yes,Travel_Rarely,Sales,22,College,1,492,High,Male,Medium,Sales Executive,High,6380,6110,2,12,Excellent,Low,8,Better,6,4,1,0
31,No,Travel_Rarely,Research & Development,9,Master,1,493,High,Male,Medium,Research Scientist,Medium,2657,7551,0,16,Excellent,Very High,3,Better,2,2,2,2
21,Yes,Travel_Rarely,Sales,12,Bachelor,1,494,High,Female,Very High,Sales Representative,Medium,2716,25422,1,15,Excellent,Very High,1,Better,1,0,0,0
29,No,Travel_Rarely,Research & Development,23,Bachelor,1,495,Very High,Male,High,Research Scientist,Very High,2201,18168,9,16,Excellent,Very High,6,Better,3,2,1,2
35,No,Travel_Rarely,Research & Development,9,Master,1,496,High,Male,Medium,Healthcare Representative,Medium,6540,19394,9,19,Excellent,High,10,Better,1,1,0,0
27,No,Travel_Rarely,Research & Development,1,College,1,497,Very High,Male,High,Laboratory Technician,Medium,3816,17881,1,11,Excellent,Medium,5,Better,5,2,0,4
28,No,Travel_Rarely,Sales,9,Master,1,498,Medium,Male,High,Sales Executive,Very High,5253,20750,1,16,Excellent,Very High,7,Better,7,5,0,7
49,No,Travel_Rarely,Research & Development,7,Bachelor,1,499,Medium,Male,Medium,Healthcare Representative,High,10965,12066,8,24,Outstanding,High,26,Better,5,2,0,0
51,No,Travel_Rarely,Sales,14,College,1,500,High,Female,High,Sales Executive,Very High,4936,14862,4,11,Excellent,High,18,Good,7,7,0,7
36,No,Travel_Rarely,Research & Development,2,Bachelor,1,501,Very High,Female,High,Research Scientist,High,2543,11868,4,13,Excellent,Medium,6,Better,2,2,2,2
34,Yes,Non-Travel,Sales,19,Bachelor,1,502,Low,Male,Very High,Sales Executive,Very High,5304,4652,8,13,Excellent,Medium,9,Good,5,2,0,4
55,No,Travel_Rarely,Research & Development,2,Bachelor,1,505,High,Female,High,Manager,Very High,16659,23258,2,13,Excellent,High,30,Better,5,4,1,2
24,No,Travel_Rarely,Sales,10,Master,1,507,Very High,Female,High,Sales Executive,High,4260,5915,1,12,Excellent,Very High,5,Best,5,2,0,3
30,No,Travel_Rarely,Sales,2,Below College,1,508,High,Male,High,Sales Representative,Medium,2476,17434,1,18,Excellent,Low,1,Better,1,0,0,0
26,Yes,Travel_Frequently,Research & Development,3,Below College,1,510,High,Male,High,Research Scientist,Low,3102,6582,0,22,Outstanding,High,7,Better,6,4,0,4
22,No,Travel_Rarely,Research & Development,11,Bachelor,1,511,Low,Female,High,Research Scientist,Medium,2244,24440,1,13,Excellent,Very High,2,Better,2,1,1,2
36,No,Travel_Rarely,Sales,2,College,1,513,Medium,Male,Medium,Sales Executive,High,7596,3809,1,13,Excellent,Medium,10,Better,10,9,9,0
30,Yes,Travel_Frequently,Research & Development,4,Bachelor,1,514,High,Male,High,Research Scientist,Very High,2285,3427,9,23,Outstanding,High,3,Better,1,0,0,0
37,No,Travel_Rarely,Research & Development,14,Bachelor,1,515,Very High,Female,High,Laboratory Technician,Low,3034,26914,1,12,Excellent,High,18,Good,18,7,12,17
40,No,Travel_Rarely,Sales,2,College,1,516,Very High,Female,High,Sales Executive,Medium,5715,22553,7,12,Excellent,High,8,Better,5,4,1,3
42,No,Travel_Rarely,Research & Development,1,Master,1,517,Medium,Female,High,Laboratory Technician,Low,2576,20490,3,16,Excellent,Medium,8,Better,5,2,1,2
37,No,Travel_Rarely,Research & Development,10,Master,1,518,High,Male,High,Manufacturing Director,Medium,4197,21123,2,12,Excellent,Very High,18,Good,1,0,0,1
43,No,Travel_Rarely,Research & Development,12,Bachelor,1,520,Low,Male,Medium,Research Director,Medium,14336,4345,1,11,Excellent,High,25,Better,25,10,3,9
40,No,Travel_Rarely,Research & Development,2,Bachelor,1,521,Medium,Female,Medium,Laboratory Technician,High,3448,13436,6,22,Outstanding,Medium,20,Better,1,0,0,0
54,No,Travel_Rarely,Research & Development,5,College,1,522,Low,Male,High,Research Director,Low,19406,8509,4,11,Excellent,High,24,Good,4,2,1,2
34,No,Non-Travel,Sales,4,Master,1,523,High,Female,High,Sales Executive,High,6538,12740,9,15,Excellent,Low,6,Better,3,2,1,2
31,No,Travel_Rarely,Research & Development,7,College,1,524,Medium,Female,High,Manufacturing Director,Low,4306,4156,1,12,Excellent,Medium,13,Bad,13,10,3,12
43,No,Travel_Frequently,Research & Development,21,Bachelor,1,525,Very High,Male,High,Laboratory Technician,Very High,2258,15238,7,20,Outstanding,Low,8,Better,3,2,1,2
43,No,Travel_Rarely,Research & Development,8,Master,1,526,High,Female,High,Healthcare Representative,High,4522,2227,4,14,Excellent,Very High,8,Better,5,2,0,2
25,No,Travel_Rarely,Sales,4,College,1,527,Medium,Female,Medium,Sales Executive,Very High,4487,12090,1,11,Excellent,Medium,5,Better,5,4,1,3
37,No,Non-Travel,Research & Development,25,Doctor,1,529,Medium,Female,High,Research Scientist,High,4449,23866,3,15,Excellent,Low,15,Better,13,11,10,7
31,No,Travel_Rarely,Research & Development,1,College,1,530,Very High,Male,Medium,Laboratory Technician,Low,2218,16193,1,12,Excellent,High,4,Better,4,2,3,2
39,No,Travel_Frequently,Research & Development,1,Below College,1,531,Medium,Male,High,Manager,High,19197,8213,1,14,Excellent,High,21,Better,21,8,1,6
56,No,Travel_Frequently,Sales,6,Bachelor,1,532,High,Female,Very High,Sales Executive,Low,13212,18256,9,11,Excellent,Very High,36,Good,7,7,7,7
30,No,Travel_Rarely,Sales,12,Bachelor,1,533,Medium,Female,High,Sales Executive,High,6577,19558,0,11,Excellent,Medium,6,Better,5,4,4,4
41,No,Travel_Rarely,Sales,1,Bachelor,1,534,Medium,Male,Very High,Sales Executive,Low,8392,19566,1,16,Excellent,High,10,Better,10,7,0,7
28,No,Travel_Rarely,Research & Development,17,College,1,536,High,Male,High,Laboratory Technician,Low,4558,13535,1,12,Excellent,Very High,10,Better,10,0,1,8
25,Yes,Travel_Rarely,Research & Development,3,Bachelor,1,538,Low,Male,High,Laboratory Technician,Low,4031,9396,5,13,Excellent,High,6,Better,2,2,0,2
52,No,Travel_Rarely,Research & Development,3,Bachelor,1,543,Very High,Male,Medium,Manufacturing Director,High,7969,19609,2,14,Excellent,High,28,Better,5,4,0,4
45,No,Travel_Rarely,Research & Development,10,College,1,544,Low,Male,High,Research Scientist,Very High,2654,9655,3,21,Outstanding,Very High,8,Good,2,2,0,2
52,No,Travel_Rarely,Research & Development,4,College,1,546,Very High,Female,High,Manager,Very High,16555,10310,2,13,Excellent,Very High,31,Bad,5,2,1,4
42,No,Travel_Frequently,Research & Development,29,College,1,547,Low,Female,High,Research Scientist,High,4556,12932,2,11,Excellent,Medium,19,Better,5,4,0,2
30,No,Travel_Rarely,Research & Development,2,Bachelor,1,548,High,Female,Low,Manufacturing Director,Very High,6091,24793,2,20,Outstanding,High,11,Better,5,4,0,2
60,No,Travel_Rarely,Research & Development,7,Bachelor,1,549,Low,Female,High,Manager,Low,19566,3854,5,11,Excellent,Very High,33,Bad,29,8,11,10
46,No,Travel_Rarely,Research & Development,18,Bachelor,1,550,High,Female,High,Manufacturing Director,High,4810,26314,2,14,Excellent,High,19,Good,10,7,0,8
42,No,Travel_Frequently,Research & Development,28,Master,1,551,Very High,Female,Medium,Healthcare Representative,Very High,4523,4386,0,11,Excellent,Very High,7,Best,6,5,0,4
24,Yes,Travel_Rarely,Sales,1,Below College,1,554,Low,Female,High,Sales Representative,Medium,3202,21972,1,16,Excellent,Medium,6,Better,5,3,1,4
34,Yes,Travel_Frequently,Sales,6,College,1,555,Very High,Female,Low,Sales Representative,High,2351,12253,0,16,Excellent,Very High,3,Good,2,2,1,0
38,No,Travel_Frequently,Research & Development,2,College,1,556,Very High,Male,High,Laboratory Technician,Very High,1702,12106,1,23,Outstanding,High,1,Better,1,0,0,0
40,No,Travel_Rarely,Sales,2,Master,1,558,High,Female,High,Manager,High,18041,13022,0,14,Excellent,Very High,21,Better,20,15,1,12
26,No,Travel_Rarely,Research & Development,23,Bachelor,1,560,Low,Female,High,Research Scientist,Very High,2886,3032,1,22,Outstanding,Medium,3,Bad,3,2,0,2
30,No,Non-Travel,Research & Development,3,Bachelor,1,562,High,Male,High,Laboratory Technician,Very High,2097,16734,4,15,Excellent,High,9,Bad,5,3,1,4
29,No,Travel_Rarely,Research & Development,3,Master,1,564,Medium,Male,Medium,Research Director,High,11935,21526,1,18,Excellent,High,10,Better,10,2,0,7
29,Yes,Travel_Rarely,Research & Development,25,Doctor,1,565,High,Female,Medium,Research Scientist,Medium,2546,18300,5,16,Excellent,Medium,6,Best,2,2,1,1
19,Yes,Travel_Rarely,Human Resources,2,College,1,566,Low,Male,Medium,Human Resources,Very High,2564,18437,1,12,Excellent,High,1,Best,1,0,0,0
30,No,Non-Travel,Sales,22,Master,1,567,High,Female,High,Sales Executive,Low,8412,2890,0,11,Excellent,High,10,Better,9,8,7,8
57,No,Travel_Rarely,Sales,29,Bachelor,1,568,Low,Male,Medium,Manager,Very High,14118,22102,3,12,Excellent,High,32,Good,1,0,0,0
50,No,Travel_Rarely,Research & Development,29,Master,1,569,Medium,Male,Medium,Manager,High,17046,9314,0,15,Excellent,Medium,28,Better,27,10,15,7
30,No,Non-Travel,Research & Development,2,Bachelor,1,571,High,Female,High,Laboratory Technician,Very High,2564,7181,0,14,Excellent,High,12,Good,11,7,6,7
60,No,Travel_Frequently,Sales,28,Bachelor,1,573,High,Female,Medium,Sales Executive,Low,10266,2845,4,19,Excellent,Very High,22,Best,18,13,13,11
47,No,Travel_Rarely,Research & Development,2,College,1,574,Low,Female,High,Manufacturing Director,Very High,5070,7389,5,13,Excellent,High,20,Better,5,0,0,4
46,No,Travel_Rarely,Research & Development,2,Bachelor,1,575,Low,Male,High,Research Director,High,17861,2288,6,13,Excellent,High,26,Bad,3,2,0,1
35,No,Travel_Rarely,Research & Development,22,Bachelor,1,577,Very High,Male,Low,Laboratory Technician,High,4230,19225,0,15,Excellent,High,6,Better,5,4,4,3
54,No,Travel_Rarely,Research & Development,8,Master,1,578,High,Female,High,Laboratory Technician,High,3780,23428,7,11,Excellent,High,19,Better,1,0,0,0
34,No,Travel_Rarely,Research & Development,2,Master,1,579,Very High,Male,Medium,Research Scientist,High,2768,8416,3,12,Excellent,High,14,Better,7,3,5,7
46,No,Travel_Rarely,Sales,10,Bachelor,1,580,High,Female,Medium,Sales Executive,Very High,9071,11563,2,19,Excellent,High,15,Better,3,2,1,2
31,No,Travel_Rarely,Research & Development,9,Below College,1,581,High,Male,High,Manufacturing Director,Medium,10648,14394,1,25,Outstanding,Very High,13,Best,13,8,0,8
33,Yes,Travel_Rarely,Research & Development,15,Below College,1,582,Medium,Male,High,Manager,High,13610,24619,7,12,Excellent,Very High,15,Best,7,6,7,7
33,Yes,Travel_Rarely,Research & Development,10,Below College,1,584,Low,Male,Low,Laboratory Technician,Very High,3408,6705,7,13,Excellent,Low,8,Better,4,3,1,3
30,No,Travel_Rarely,Sales,7,Below College,1,585,Very High,Male,High,Sales Representative,Medium,2983,18398,0,14,Excellent,Low,4,Better,3,2,1,2
35,No,Travel_Rarely,Research & Development,16,Bachelor,1,586,Very High,Male,High,Healthcare Representative,High,7632,14295,4,12,Excellent,High,10,Better,8,7,0,0
31,Yes,Travel_Frequently,Research & Development,20,Bachelor,1,587,Low,Male,High,Healthcare Representative,High,9824,22908,3,12,Excellent,Low,12,Better,1,0,0,0
34,Yes,Travel_Frequently,Human Resources,23,Bachelor,1,590,Medium,Female,High,Human Resources,Low,9950,11533,9,15,Excellent,High,11,Better,3,2,0,2
42,No,Travel_Frequently,Research & Development,5,College,1,591,Medium,Male,High,Laboratory Technician,High,2093,9260,4,17,Excellent,Very High,8,Better,2,2,2,0
36,No,Non-Travel,Sales,10,Master,1,592,Medium,Male,High,Sales Executive,Very High,9980,15318,1,14,Excellent,Very High,10,Good,10,3,9,7
22,Yes,Travel_Frequently,Research & Development,4,Below College,1,593,High,Male,Medium,Laboratory Technician,High,3894,9129,5,16,Excellent,High,4,Better,2,2,1,2
48,No,Travel_Rarely,Sales,2,Doctor,1,595,Medium,Female,High,Sales Executive,Very High,4051,19658,2,14,Excellent,Low,14,Better,9,7,6,7
55,No,Travel_Rarely,Sales,18,Doctor,1,597,Low,Female,High,Manager,Medium,16835,9873,3,23,Outstanding,Very High,37,Better,10,9,7,7
41,No,Non-Travel,Sales,10,College,1,599,Very High,Male,High,Sales Executive,Very High,6230,13430,7,14,Excellent,Very High,16,Better,14,3,1,10
35,No,Travel_Rarely,Sales,1,Bachelor,1,600,Medium,Male,High,Sales Executive,High,4717,18659,9,11,Excellent,High,15,Better,11,9,6,9
40,No,Travel_Rarely,Research & Development,6,Bachelor,1,601,Medium,Female,High,Manufacturing Director,High,13237,20364,7,15,Excellent,High,22,Better,20,6,5,13
39,No,Travel_Frequently,Research & Development,8,Below College,1,602,High,Female,High,Laboratory Technician,High,3755,17872,1,11,Excellent,Low,8,Better,8,3,0,7
31,No,Travel_Rarely,Sales,2,Below College,1,604,Medium,Male,High,Sales Executive,Very High,6582,8346,4,13,Excellent,High,10,Best,6,5,0,5
42,No,Travel_Rarely,Research & Development,24,Bachelor,1,605,Very High,Male,High,Manufacturing Director,Low,7406,6950,1,21,Outstanding,Very High,10,Good,10,9,5,8
45,No,Travel_Rarely,Sales,2,Bachelor,1,606,Very High,Male,High,Sales Executive,Medium,4805,16177,0,19,Excellent,Medium,9,Best,8,7,3,7
26,Yes,Travel_Frequently,Human Resources,17,Master,1,608,Medium,Female,High,Human Resources,High,2741,22808,0,11,Excellent,Medium,8,Good,7,7,1,0
29,No,Travel_Rarely,Research & Development,19,Bachelor,1,611,Very High,Male,High,Manufacturing Director,Very High,4262,22645,4,12,Excellent,Medium,8,Best,3,2,1,2
33,No,Travel_Rarely,Research & Development,1,Doctor,1,612,Low,Female,Very High,Research Director,High,16184,22578,4,19,Excellent,High,10,Better,6,1,0,5
31,No,Travel_Rarely,Sales,7,Bachelor,1,613,High,Male,Medium,Manager,Very High,11557,25291,9,21,Outstanding,High,10,Good,5,4,0,1
18,Yes,Travel_Frequently,Sales,5,Bachelor,1,614,Medium,Male,High,Sales Representative,Medium,1878,8059,1,14,Excellent,Very High,0,Better,0,0,0,0
40,No,Non-Travel,Sales,28,Bachelor,1,615,High,Male,Low,Sales Executive,Low,10932,11373,3,15,Excellent,High,20,Better,1,0,0,1
41,No,Non-Travel,Research & Development,2,Master,1,616,Low,Female,Medium,Healthcare Representative,High,6811,2112,2,17,Excellent,Low,10,Better,8,7,0,7
26,No,Travel_Rarely,Sales,29,College,1,618,Low,Male,High,Sales Executive,High,4306,4267,5,12,Excellent,Low,8,Better,0,0,0,0
35,No,Travel_Rarely,Sales,1,Bachelor,1,620,Low,Female,High,Sales Executive,High,4859,6698,1,16,Excellent,Very High,5,Better,5,4,0,3
34,No,Travel_Rarely,Sales,21,Master,1,621,Very High,Male,Very High,Sales Executive,Very High,5337,19921,1,12,Excellent,Very High,10,Better,10,7,5,7
26,Yes,Travel_Rarely,Research & Development,24,Bachelor,1,622,High,Male,Low,Laboratory Technician,Very High,2340,23213,1,18,Excellent,Medium,1,Bad,1,0,0,0
37,No,Travel_Rarely,Research & Development,1,Bachelor,1,623,Medium,Female,High,Manufacturing Director,Very High,7491,23848,4,17,Excellent,Very High,12,Best,6,5,1,2
46,No,Travel_Frequently,Research & Development,18,Below College,1,624,Low,Female,High,Healthcare Representative,High,10527,8984,5,11,Excellent,Very High,28,Good,2,2,1,2
41,No,Travel_Rarely,Sales,2,Doctor,1,625,Medium,Female,High,Manager,Low,16595,5626,7,16,Excellent,Medium,22,Better,18,16,11,8
37,No,Non-Travel,Sales,9,Master,1,626,Low,Male,High,Sales Executive,Medium,8834,24666,1,13,Excellent,Very High,9,Better,9,5,7,7
52,No,Travel_Rarely,Research & Development,6,College,1,630,Very High,Male,High,Research Scientist,Low,5577,22087,3,12,Excellent,Medium,18,Better,10,9,6,9
32,Yes,Non-Travel,Sales,11,Master,1,631,Very High,Male,Very High,Sales Executive,High,4707,23914,8,12,Excellent,Very High,6,Better,4,2,1,2
24,No,Travel_Frequently,Sales,24,Bachelor,1,632,Very High,Male,High,Sales Representative,Very High,2400,5530,0,13,Excellent,High,3,Better,2,2,2,1
38,No,Travel_Rarely,Research & Development,10,Bachelor,1,634,High,Female,High,Healthcare Representative,High,9824,22174,3,19,Excellent,High,18,Better,1,0,0,0
37,No,Travel_Rarely,Research & Development,1,Master,1,635,Medium,Female,High,Manufacturing Director,Medium,6447,15701,6,12,Excellent,Medium,8,Good,6,5,4,3
49,No,Travel_Rarely,Research & Development,18,Master,1,638,Very High,Male,Medium,Research Director,High,19502,2125,1,17,Excellent,High,31,Better,31,9,0,9
24,No,Travel_Rarely,Research & Development,23,Bachelor,1,639,Medium,Male,Very High,Research Scientist,Very High,2725,21630,1,11,Excellent,Medium,6,Better,6,5,1,4
26,No,Travel_Rarely,Sales,28,College,1,641,Low,Male,High,Sales Executive,Medium,6272,7428,1,20,Outstanding,Very High,6,Best,5,3,1,4
24,No,Travel_Rarely,Research & Development,17,College,1,643,Very High,Male,Medium,Laboratory Technician,Medium,2127,9100,1,21,Outstanding,Very High,1,Better,1,0,0,0
50,No,Travel_Frequently,Human Resources,3,Bachelor,1,644,Low,Male,High,Manager,Medium,18200,7999,1,11,Excellent,High,32,Better,32,5,10,7
25,No,Travel_Rarely,Sales,13,Below College,1,645,Medium,Male,High,Sales Representative,High,2096,26376,1,11,Excellent,High,7,Better,7,4,0,6
24,Yes,Travel_Frequently,Research & Development,7,Bachelor,1,647,Low,Female,High,Laboratory Technician,High,2886,14168,1,16,Excellent,Very High,6,Better,6,3,1,2
30,Yes,Travel_Frequently,Sales,12,Master,1,648,Medium,Male,Medium,Sales Representative,Low,2033,14470,1,18,Excellent,High,1,Best,1,0,0,0
34,No,Travel_Rarely,Research & Development,1,College,1,649,Medium,Male,Medium,Research Scientist,Very High,3622,22794,1,13,Excellent,Very High,6,Better,6,5,1,3
31,Yes,Travel_Rarely,Sales,13,Master,1,650,Medium,Male,High,Sales Executive,Low,4233,11512,2,17,Excellent,High,9,Bad,3,1,1,2
35,No,Travel_Rarely,Research & Development,25,College,1,652,Low,Male,Medium,Laboratory Technician,Very High,3681,14004,4,14,Excellent,Very High,9,Better,3,2,0,2
31,No,Travel_Rarely,Sales,6,Master,1,653,Low,Male,Very High,Sales Executive,Very High,5460,6219,4,22,Outstanding,Very High,13,Best,7,7,5,7
27,No,Travel_Rarely,Research & Development,6,Master,1,655,Low,Female,Medium,Research Scientist,High,2187,5013,0,12,Excellent,High,6,Good,5,3,0,3
37,No,Travel_Rarely,Sales,2,Bachelor,1,656,Very High,Male,High,Sales Executive,High,9602,3010,4,11,Excellent,High,17,Good,3,0,1,0
20,No,Travel_Rarely,Research & Development,1,Bachelor,1,657,Very High,Female,Medium,Research Scientist,Medium,2836,11757,1,13,Excellent,Very High,1,Best,1,0,0,0
42,No,Travel_Rarely,Research & Development,2,Master,1,659,High,Female,High,Healthcare Representative,Very High,4089,5718,1,13,Excellent,Medium,10,Better,10,2,2,2
43,No,Travel_Rarely,Research & Development,6,Master,1,661,Medium,Male,Medium,Research Director,Very High,16627,2671,4,14,Excellent,High,21,Good,1,0,0,0
38,No,Travel_Rarely,Research & Development,1,Below College,1,662,High,Female,High,Research Scientist,Low,2619,14561,3,17,Excellent,Very High,8,Good,0,0,0,0
43,No,Travel_Frequently,Research & Development,9,Doctor,1,663,Very High,Male,High,Laboratory Technician,High,5679,19627,3,13,Excellent,Medium,10,Better,8,7,4,7
48,No,Travel_Rarely,Research & Development,1,Master,1,664,Very High,Female,Medium,Manager,Low,15402,17997,7,11,Excellent,Low,21,Bad,3,2,0,2
44,No,Travel_Rarely,Human Resources,1,Master,1,665,Low,Female,Medium,Human Resources,High,5985,26894,4,11,Excellent,Medium,10,Best,2,2,0,2
34,No,Travel_Rarely,Sales,14,Bachelor,1,666,High,Female,High,Sales Representative,High,2579,2912,1,18,Excellent,Very High,8,Better,8,2,0,6
27,Yes,Travel_Rarely,Sales,2,Below College,1,667,High,Male,High,Sales Representative,Low,3041,16346,0,11,Excellent,Medium,5,Better,4,3,0,2
21,No,Travel_Rarely,Sales,22,Below College,1,669,High,Male,High,Sales Representative,High,3447,24444,1,11,Excellent,High,3,Better,3,2,1,2
